"fid","uid","filename","uri","filemime","filesize","status","timestamp","type","entity_type","bundle","deleted","entity_id","revision_id","language","delta","field_photos_fid","field_photos_alt","field_photos_title","field_photos_width","field_photos_height"
"48942","7072","fb_img_1646810527701creer_publier_ad488363485.jpg","public://img-gallery/fb_img_1646810527701creer_publier_ad488363485.jpg","image/jpeg","81500","1","1648483578","image","node","submit_an_ad","0","11004","11004","und","0","48942"," ","NOT NULL","800","599"
"48935","7135","40b325e1-1ab7-437d-a2a8-5a9e6aafc4e8creer_publier_ad1409192093.jpeg","public://img-gallery/40b325e1-1ab7-437d-a2a8-5a9e6aafc4e8creer_publier_ad1409192093.jpeg","image/jpeg","23869","1","1648480483","image","node","submit_an_ad","0","11003","11003","und","0","48935"," ","NOT NULL","600","800"
"48938","7135","a7c6e2bb-ad97-4025-ab02-51c6031a2f23creer_publier_ad895225331.jpeg","public://img-gallery/a7c6e2bb-ad97-4025-ab02-51c6031a2f23creer_publier_ad895225331.jpeg","image/jpeg","59704","1","1648480483","image","node","submit_an_ad","0","11003","11003","und","1","48938"," ","NOT NULL","600","800"
"48924","6899","114545emmodifier_publier_adem_appartement_et_studio_a_louer_au_carrefour_tsimi964989470.jpg","public://img-gallery/114545emmodifier_publier_adem_appartement_et_studio_a_louer_au_carrefour_tsimi964989470.jpg","image/jpeg","92670","1","1648479818","image","node","submit_an_ad","0","11002","11002","und","0","48924"," ","NOT NULL","596","778"
"48925","6899","img_20220126_143606_240creer_publier_ad2122246699emmodifier_publier_adem_appartement_et_studio_a_louer_au_carrefour_tsimi161179679.jpg","public://img-gallery/img_20220126_143606_240creer_publier_ad2122246699emmodifier_publier_adem_appartement_et_studio_a_louer_au_carrefour_tsimi161179679.jpg","image/jpeg","103159","1","1648479818","image","node","submit_an_ad","0","11002","11002","und","1","48925"," ","NOT NULL","597","789"
"48926","6899","img_20220126_143628_048creer_publier_ad2061773773emmodifier_publier_adem_appartement_et_studio_a_louer_au_carrefour_tsimi835950507.jpg","public://img-gallery/img_20220126_143628_048creer_publier_ad2061773773emmodifier_publier_adem_appartement_et_studio_a_louer_au_carrefour_tsimi835950507.jpg","image/jpeg","96716","1","1648479818","image","node","submit_an_ad","0","11002","11002","und","2","48926"," ","NOT NULL","600","795"
"48927","6899","img_20220126_144535_961creer_publier_ad460226858emmodifier_publier_adem_appartement_et_studio_a_louer_au_carrefour_tsimi1657339417.jpg","public://img-gallery/img_20220126_144535_961creer_publier_ad460226858emmodifier_publier_adem_appartement_et_studio_a_louer_au_carrefour_tsimi1657339417.jpg","image/jpeg","141444","1","1648479818","image","node","submit_an_ad","0","11002","11002","und","3","48927"," ","NOT NULL","596","790"
"48928","6899","img_20220126_144955_623creer_publier_ad616525137emmodifier_publier_adem_appartement_et_studio_a_louer_au_carrefour_tsimi408097670.jpg","public://img-gallery/img_20220126_144955_623creer_publier_ad616525137emmodifier_publier_adem_appartement_et_studio_a_louer_au_carrefour_tsimi408097670.jpg","image/jpeg","92165","1","1648479818","image","node","submit_an_ad","0","11002","11002","und","4","48928"," ","NOT NULL","600","789"
"48929","6899","img_20220126_145409_832creer_publier_ad868945808emmodifier_publier_adem_appartement_et_studio_a_louer_au_carrefour_tsimi336536603.jpg","public://img-gallery/img_20220126_145409_832creer_publier_ad868945808emmodifier_publier_adem_appartement_et_studio_a_louer_au_carrefour_tsimi336536603.jpg","image/jpeg","94895","1","1648479818","image","node","submit_an_ad","0","11002","11002","und","5","48929"," ","NOT NULL","600","788"
"48930","6899","img_20220126_145413_971creer_publier_ad563999940emmodifier_publier_adem_appartement_et_studio_a_louer_au_carrefour_tsimi882613855.jpg","public://img-gallery/img_20220126_145413_971creer_publier_ad563999940emmodifier_publier_adem_appartement_et_studio_a_louer_au_carrefour_tsimi882613855.jpg","image/jpeg","120309","1","1648479818","image","node","submit_an_ad","0","11002","11002","und","6","48930"," ","NOT NULL","598","777"
"48931","6899","img_20220126_145818_957creer_publier_ad342349993emmodifier_publier_adem_appartement_et_studio_a_louer_au_carrefour_tsimi841400780.jpg","public://img-gallery/img_20220126_145818_957creer_publier_ad342349993emmodifier_publier_adem_appartement_et_studio_a_louer_au_carrefour_tsimi841400780.jpg","image/jpeg","110122","1","1648479818","image","node","submit_an_ad","0","11002","11002","und","7","48931"," ","NOT NULL","597","779"
"48932","6899","img_20220126_150108_843creer_publier_ad79955189emmodifier_publier_adem_appartement_et_studio_a_louer_au_carrefour_tsimi2044019245.jpg","public://img-gallery/img_20220126_150108_843creer_publier_ad79955189emmodifier_publier_adem_appartement_et_studio_a_louer_au_carrefour_tsimi2044019245.jpg","image/jpeg","45633","1","1648479818","image","node","submit_an_ad","0","11002","11002","und","8","48932"," ","NOT NULL","800","600"
"48915","6897","e0d46e57-7ff2-4f69-9066-74bbbf8f35d3creer_publier_ad997470946.jpg","public://img-gallery/e0d46e57-7ff2-4f69-9066-74bbbf8f35d3creer_publier_ad997470946.jpg","image/jpeg","86076","1","1648476289","image","node","submit_an_ad","0","11001","11001","und","0","48915"," ","NOT NULL","600","800"
